Name,Label
അദിതി,0
ആക്ഷയാ,0
ബാബു,1
മധു,1
ആദിൽ ,1
രമേശ് ,1
ആര്യ ,0
ഷിംന ,0
അതുൽ ,1
സാന്ദ്ര ,0
ഉമ,0
സുജാത ,0
ഹാരിസ് ,1
രാജൻ ,1
മുഹമ്മദ് ,1
ജമീല ,0
സജീവ് ,1
ഹരി ,1
ജോൺസൻ ,1
ദേവിക,0
ഷീബ,0
ലിയ,0
അഅനംദിത,0
അഭിഥ,0
അദ്വൈഗ,0
അദ്വിക,0
അഗമ്യ,0
ഐശ്വര്യ,0
അജിസ,0
അക്സ,0
അക്ഷത,0
അളകനന്ദ,0
അലൊകി,0
അംബുദ,0
അമിദി,0
അമ്രിത്കല,0
അമ്ശിഥ,0
അനഗി,0
അനാമിക,0
അനിഹ,0
അനിയ,0
അംശിക,0
അനു,0
അനുപ്രിയ,0
അപിനയ,0
അരുംദഥി,0
അശകിരന്,0
അഷിക,0
അസിന,0
അശ്ന,0
അഥെഎന,0
അത്മജ,0
അവിശ്ന,0
ബല്യ,0
ഭൂമിക,0
ഛെഎരു,0
ഛ്ഹവി,0
ദയമയി,0
ദേവൻഷി,0
ധ്വനി,0
ദ്വിഥി,0
എകനി,0
ഏക്ത,0
ഏഷാ,0
ഹർഷ,0
ഹര്ശിക,0
ഇദിക,0
ഇക്ശിത,0
ഇക്യ,0
ഇംദുകംത,0
ഇംദുമതി,0
ഇശന,0
ഇശനി,0
ഇഷ,0
ജാനകി,0
ലൈഖ,0
ലെഎഥു,0
മന്ക,0
മാവ്യ,0
മീന,0
മുകുംദ,0
നൈനിക,0
നമ്രത,0
നവമി,0
നവെദ,0
നവിത,0
നിലക്ശി,0
നിംദുശ,0
നിയ,0
ഒജസ്വിനി,0
ഒമ്കരെശ്വരി,0
ഫുല്മല,0
പ്രസില,0
രനിക,0
രംസി,0
ര്ഹിഥിക,0
സബാരി,0
സന്ജുശ,0
സനൂജ,0
ശരുന,0
ശെജി,0
ശിവന്ജലി,0
ശിവംതിക,0
സ്രെഎജിനി,0
സ്രിജില,0
സ്രിത,0
ശ്രീയ,0
സ്വെത,0
തെജിനി,0
ഥജിന,0
ഉദയാ,0
ഉമന്ഗ്,0
വൈദെഹി,0
വമിക,0
വമിക,0
വന്ദന,0
വർഷ,0
വിംമ്യ,0
വീണ,0
വിനി,0
വിപിഥ,0
വിസ്മയ,0